speciesid,populationid,Species,Population/Stock,Status,HUC8,Basin Name
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090003,Upper Willamette
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090005,North Santiam
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090006,South Santiam
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17080003,Lower Columbia-Clatskanie
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090012,Lower Willamette
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17090012,Lower Willamette
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17080003,Lower Columbia-Clatskanie
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17090009,Molalla-Pudding
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17090007,Middle Willamette
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17090011,Clackamas
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17080006,Lower Columbia
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17070105,Middle Columbia-Hood
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17080001,Lower Columbia-Sandy
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17080004,Upper Cowlitz
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17080005,Cowlitz
5,110,"Salmon, chum",Columbia River,NMFS Threatened,17080002,Lewis
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,17110017,Skokomish
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,17110019,Kitsap
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,17110020,Dungeness-Elwha
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,17110018,Hood Canal
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18010109,Gualala-Salmon
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18010108,Big-Navarro-Garcia
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18010110,Russian
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18050005,Tomales-Drake Bays
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18050006,San Francisco Coastal South
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18060001,San Lorenzo-Soquel
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,18010111,Bodega Bay
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17080002,Lewis
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17080004,Upper Cowlitz
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17080005,Cowlitz
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17080001,Lower Columbia-Sandy
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17090008,Yamhill
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17090010,Tualatin
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17080006,Lower Columbia
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17090011,Clackamas
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17080003,Lower Columbia-Clatskanie
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17090012,Lower Willamette
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,17070105,Middle Columbia-Hood
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100201,Necanicum
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100202,Nehalem
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100203,Wilson-Trask-Nestucca
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100204,Siletz-Yaquina
2,73,"Salmon, coho",Oregon Coast,NMFS Threatened,17100205,Alsea
